コード,銘柄名,市場区分,更新日
4554,富士製薬工業,プライム,2023/08/09
4559,ゼリア新薬工業,プライム,2023/08/09
4565,そーせいグループ,プライム,2023/03/15
4568,第一三共,プライム,2023/08/09
4569,キョーリン製薬ホールディングス,プライム,2023/08/09
4574,大幸薬品,プライム,2023/08/09
4577,ダイト,プライム,2023/08/09
4578,大塚ホールディングス,プライム,2023/08/09
4587,ペプチドリーム,プライム,2023/08/09
4886,あすか製薬ホールディングス,プライム,2023/08/09
4887,サワイグループホールディングス,プライム,2023/08/09
4967,小林製薬,プライム,2023/08/09
4974,タカラバイオ,プライム,2023/08/09
3315,日本コークス工業,プライム,2023/08/09
5011,ニチレキ,プライム,2023/08/09
5017,富士石油,プライム,2023/08/09
5018,ＭＯＲＥＳＣＯ,プライム,2023/08/09
5019,出光興産,プライム,2023/08/09
5020,ＥＮＥＯＳホールディングス,プライム,2023/08/09
5021,コスモエネルギーホールディングス,プライム,2023/08/09
5101,横浜ゴム,プライム,2023/08/09
5105,ＴＯＹＯ　ＴＩＲＥ,プライム,2023/08/09
5108,ブリヂストン,プライム,2023/08/09
5110,住友ゴム工業,プライム,2023/08/09
5121,藤倉コンポジット,プライム,2023/08/09
5122,オカモト,プライム,2023/08/09
5185,フコク,プライム,2023/08/09
5186,ニッタ,プライム,2023/08/09
5191,住友理工,プライム,2023/08/09
5192,三ツ星ベルト,プライム,2023/08/09
5195,バンドー化学,プライム,2023/08/09
3110,日東紡績,プライム,2023/08/09
5201,ＡＧＣ,プライム,2023/08/09
5202,日本板硝子,プライム,2023/08/09
5214,日本電気硝子,プライム,2023/08/09
5232,住友大阪セメント,プライム,2023/08/09
5233,太平洋セメント,プライム,2023/08/09
5262,日本ヒューム,プライム,2023/08/09
5269,日本コンクリート工業,プライム,2023/08/09
5288,アジアパイルホールディングス,プライム,2023/08/09
5301,東海カーボン,プライム,2023/08/09
5302,日本カーボン,プライム,2023/08/09
5310,東洋炭素,プライム,2023/08/09
5331,ノリタケカンパニーリミテド,プライム,2023/08/09
5332,ＴＯＴＯ,プライム,2023/08/09
5333,日本碍子,プライム,2023/08/09
5334,日本特殊陶業,プライム,2023/08/09
5344,ＭＡＲＵＷＡ,プライム,2023/08/09
5351,品川リフラクトリーズ,プライム,2023/08/09
5352,黒崎播磨,プライム,2023/08/09
5357,ヨータイ,プライム,2023/08/09
5367,ニッカトー,プライム,2023/08/09
5384,フジミインコーポレーテッド,プライム,2023/08/09
5393,ニチアス,プライム,2023/08/09
7943,ニチハ,プライム,2023/08/09
5401,日本製鉄,プライム,2023/08/09
5406,神戸製鋼所,プライム,2023/08/09
5408,中山製鋼所,プライム,2023/08/09
5410,合同製鐵,プライム,2023/08/09
5411,ジェイ　エフ　イー　ホールディングス,プライム,2023/08/09
5423,東京製鐵,プライム,2023/08/09
